Longitude,Latitude,Magnitude,Time,Timestamp,Week,Location
101.39,27.92,3.9,25/12/2016 7:26,1482621966,12,四川凉山州木里县
105.6,29.47,4.8,27/12/2016 8:17,1482797852,13,重庆荣昌区
105.55,29.43,3.9,28/12/2016 12:43,1482900230,13,重庆荣昌区
104.72,28.16,4.2,15/01/2017 18:05,1484474735,15,四川宜宾市珙县
104.73,28.14,3.7,15/01/2017 19:20,1484479253,15,四川宜宾市筠连县
104.76,28.1,4.3,18/01/2017 22:35,1484750113,16,四川宜宾市筠连县
103.61,30.1,3.6,25/01/2017 14:38,1485326283,17,四川眉山市东坡区
104.72,28.09,4.9,28/01/2017 2:46,1485542792,17,四川宜宾市筠连县
104.7,28.15,3.7,2/02/2017 8:34,1485995669,18,四川宜宾市筠连县
103.36,27.07,4.9,8/02/2017 19:11,1486552298,19,云南昭通市鲁甸县
103.38,31.02,4,26/02/2017 3:24,1488050690,21,四川阿坝州汶川县
103.4,27.09,4.5,12/03/2017 20:21,1489321277,23,云南昭通市鲁甸县
99.83,25.87,4.7,27/03/2017 7:40,1490571628,26,云南大理州漾濞县
99.8,25.89,5.1,27/03/2017 7:55,1490572500,26,云南大理州漾濞县
99.81,25.85,4.3,27/03/2017 9:10,1490577026,26,云南大理州漾濞县
103.36,27.11,3.6,30/03/2017 7:48,1490831297,26,云南昭通市鲁甸县
104.56,32.21,3.7,11/04/2017 2:25,1491848705,28,四川绵阳市平武县
103.97,31.44,3.9,23/04/2017 5:26,1492896417,29,四川德阳市什邡市
104.87,28.19,4.9,4/05/2017 13:40,1493876420,31,四川宜宾市珙县
99.34,25.65,3.7,20/05/2017 0:02,1495209735,33,云南大理州云龙县
103.18,31.31,3.9,6/06/2017 14:04,1496729098,36,四川阿坝州汶川县
104.67,28.16,3.6,26/06/2017 8:47,1498438063,39,四川宜宾市筠连县
101.71,25.12,4.1,2/07/2017 14:34,1498977296,39,云南楚雄州禄丰县
105.36,32.38,4.9,17/07/2017 6:55,1500245759,42,四川广元市青川县
103.82,33.2,7,8/08/2017 21:19,1502198386,45,四川阿坝州九寨沟县
103.76,33.3,3.6,9/08/2017 5:16,1502226962,45,四川阿坝州九寨沟县
103.87,33.12,3.6,9/08/2017 5:37,1502228234,45,四川阿坝州九寨沟县
103.87,33.12,3.7,9/08/2017 8:10,1502237409,45,四川阿坝州九寨沟县
103.8,33.28,3.9,9/08/2017 8:29,1502238544,45,四川阿坝州九寨沟县
103.85,33.16,3.8,9/08/2017 9:22,1502241734,45,四川阿坝州九寨沟县
103.75,33.28,3.7,9/08/2017 9:32,1502242367,45,四川阿坝州九寨沟县
103.86,33.16,4.8,9/08/2017 10:17,1502245022,45,四川阿坝州九寨沟县
103.79,33.22,3.7,10/08/2017 3:02,1502305333,45,四川阿坝州九寨沟县
103.85,33.16,4.3,10/08/2017 5:05,1502312754,45,四川阿坝州九寨沟县
103.85,33.22,4.1,10/08/2017 17:48,1502358514,45,四川阿坝州九寨沟县
103.87,33.12,3.7,12/08/2017 7:56,1502495799,45,四川阿坝州九寨沟县
105.42,28.93,3.6,12/09/2017 0:35,1505147704,50,四川泸州市龙马潭区
101.42,27.93,4.4,12/09/2017 19:26,1505215600,50,四川凉山州木里县
105,32.27,5.4,30/09/2017 14:14,1506752077,52,四川广元市青川县
103.8,33.23,4,6/10/2017 18:25,1507285534,53,四川阿坝州九寨沟县
105.52,32.51,3.6,13/10/2017 4:03,1507838630,54,四川广元市青川县
103.7,31.22,3.8,6/11/2017 8:34,1509928453,58,四川成都市彭州市
103.79,33.21,4.5,7/11/2017 5:31,1510003868,58,四川阿坝州九寨沟县
103.97,31.54,4.2,10/11/2017 11:03,1510282994,58,四川德阳市绵竹市
99.32,23.93,4.6,4/01/2018 5:35,1515015333,66,云南临沧市永德县
101.32,27.95,3.5,6/02/2018 15:03,1517900603,71,四川凉山州木里县
99.98,27.24,4,15/02/2018 11:27,1518665261,72,云南迪庆州香格里拉市
105.02,32.29,4.4,18/02/2018 11:44,1518925451,72,四川广元市青川县
100.79,24.47,4,20/02/2018 22:09,1519135797,73,云南普洱市景东县
101.55,30.46,4.2,22/02/2018 8:10,1519258248,73,四川甘孜州道孚县
101.54,30.47,3.5,24/02/2018 17:55,1519466133,73,四川甘孜州道孚县
98.43,23.63,3.6,10/03/2018 6:08,1520633317,75,缅甸
98.85,25.09,3.7,14/03/2018 11:15,1520997304,76,云南保山市隆阳区
101.77,25.21,3.7,1/04/2018 21:10,1522588213,78,云南楚雄州禄丰县
103.47,28.12,3.8,8/05/2018 23:11,1525792292,84,云南昭通市永善县
102.28,29.19,4.3,16/05/2018 16:46,1526460371,85,四川雅安市石棉县
102.27,29.18,4.3,16/05/2018 16:46,1526460400,85,四川雅安市石棉县
104.57,32.17,4,29/06/2018 8:42,1530232938,91,四川绵阳市平武县
103.28,30.36,3.6,6/07/2018 13:19,1530854385,92,四川成都市邛崃市
102.34,33.12,3.7,22/07/2018 8:44,1532220253,94,四川阿坝州阿坝县
104.54,29.55,3.6,23/07/2018 6:43,1532299429,95,四川内江市威远县
104.55,29.55,4.2,23/07/2018 7:02,1532300523,95,四川内江市威远县
101.35,27.93,3.7,4/08/2018 22:56,1533394603,96,四川凉山州木里县
103.31,28.63,3.8,11/08/2018 14:11,1533967890,97,四川乐山市马边县
102.71,24.19,5,13/08/2018 1:44,1534095864,98,云南玉溪市通海县
102.72,24.18,3.5,13/08/2018 1:49,1534096163,98,云南玉溪市通海县
102.71,24.19,5,14/08/2018 3:50,1534189836,98,云南玉溪市通海县
104,27.43,4.4,15/08/2018 21:28,1534339691,98,贵州毕节市威宁县
103.96,27.42,3.8,18/08/2018 1:36,1534527397,98,贵州毕节市威宁县
101.39,27.92,3.7,29/08/2018 4:46,1535489202,100,四川凉山州木里县
101.53,23.28,5.9,8/09/2018 10:31,1536373889,101,云南普洱市墨江县
101.57,23.27,4.1,8/09/2018 10:34,1536374065,101,云南普洱市墨江县
101.6,23.28,4.7,8/09/2018 10:35,1536374158,101,云南普洱市墨江县
105.69,32.75,5.3,12/09/2018 19:06,1536750394,102,陕西汉中市宁强县
102.21,25.89,4.5,17/10/2018 13:29,1539754158,107,云南楚雄州武定县
102.08,27.7,5.1,31/10/2018 16:29,1540974595,109,四川凉山州西昌市
98.81,29.62,4.9,13/12/2018 23:32,1544715170,115,西藏昌都市芒康县
98.82,29.61,4.4,13/12/2018 23:39,1544715582,115,西藏昌都市芒康县
98.81,29.59,3.6,14/12/2018 1:15,1544721305,115,西藏昌都市芒康县
104.95,28.24,5.7,16/12/2018 12:46,1544935567,115,四川宜宾市兴文县
102.11,22.55,3.6,27/12/2018 15:30,1545895807,117,云南普洱市江城县
